Source,CH1
Second,Volt
-0.07640799880,4.00000,
-0.07639999688,4.20000,
-0.07639200240,4.40000,
-0.07638400048,4.40000,
-0.07637599856,4.40000,
-0.07636799663,4.60000,
-0.07636000216,4.80000,
-0.07635200024,4.60000,
-0.07634399831,4.60000,
-0.07633599639,4.60000,
-0.07632800192,4.60000,
-0.07631999999,4.40000,
-0.07631199807,4.40000,
-0.07630399615,4.20000,
-0.07629600167,4.00000,
-0.07628799975,3.80000,
-0.07627999783,3.80000,
-0.07627200335,3.60000,
-0.07626400143,3.60000,
-0.07625599951,3.20000,
-0.07624799758,2.80000,
-0.07624000311,2.80000,
-0.07623200119,2.60000,
-0.07622399926,2.40000,
-0.07621599734,2.20000,
-0.07620800287,2.00000,
-0.07620000094,1.80000,
-0.07619199902,1.60000,
-0.07618399709,1.40000,
-0.07617600262,1.00000,
-0.07616800070,0.80000,
-0.07615999877,0.80000,
-0.07615199685,0.60000,
-0.07614400238,0.40000,
-0.07613600045,0.40000,
-0.07612799853,0.20000,
-0.07611999661,0.20000,
-0.07611200213,0.20000,
-0.07610400021,0.00,
-0.07609599829,0.00,
-0.07608799636,0.00,
-0.07608000189,0.00,
-0.07607199997,0.00,
-0.07606399804,0.20000,
-0.07605599612,0.40000,
-0.07604800165,0.40000,
-0.07603999972,0.40000,
-0.07603199780,0.60000,
-0.07602400333,0.80000,
-0.07601600140,0.80000,
-0.07600799948,0.80000,
-0.07599999756,1.00000,
-0.07599200308,1.00000,
-0.07598400116,1.20000,
-0.07597599924,1.40000,
-0.07596799731,1.60000,
-0.07596000284,1.60000,
-0.07595200092,1.80000,
-0.07594399899,2.00000,
-0.07593599707,2.00000,
-0.07592800260,2.00000,
-0.07592000067,2.20000,
-0.07591199875,2.20000,
-0.07590399683,2.20000,
-0.07589600235,2.20000,
-0.07588800043,2.20000,
-0.07587999851,2.20000,
-0.07587199658,2.20000,
-0.07586400211,2.00000,
-0.07585600019,2.00000,
-0.07584799826,2.00000,
-0.07583999634,1.80000,
-0.07583200186,1.60000,
-0.07582399994,1.40000,
-0.07581599802,1.20000,
-0.07580799609,1.00000,
