Source,CH1
Second,Volt
-0.00397640001,0.36000,
-0.00397600001,0.34000,
-0.00397560000,0.36000,
-0.00397520000,0.40000,
-0.00397480000,0.38000,
-0.00397440000,0.38000,
-0.00397399999,0.40000,
-0.00397359999,0.42000,
-0.00397319999,0.42000,
-0.00397279998,0.42000,
-0.00397239998,0.42000,
-0.00397199998,0.42000,
-0.00397159997,0.44000,
-0.00397119997,0.46000,
-0.00397079997,0.44000,
-0.00397039996,0.46000,
-0.00396999996,0.48000,
-0.00396959996,0.50000,
-0.00396919996,0.50000,
-0.00396879995,0.48000,
-0.00396839995,0.50000,
-0.00396799995,0.52000,
-0.00396759994,0.54000,
-0.00396719994,0.52000,
-0.00396679994,0.52000,
-0.00396639993,0.52000,
-0.00396599993,0.56000,
-0.00396559993,0.58000,
-0.00396519993,0.58000,
-0.00396479992,0.56000,
-0.00396439992,0.58000,
-0.00396399992,0.60000,
-0.00396359991,0.62000,
-0.00396319991,0.58000,
-0.00396279991,0.58000,
-0.00396239990,0.60000,
-0.00396199990,0.64000,
-0.00396159990,0.62000,
-0.00396119989,0.64000,
-0.00396079989,0.64000,
-0.00396039989,0.66000,
-0.00395999989,0.68000,
-0.00395959988,0.68000,
-0.00395919988,0.68000,
-0.00395879988,0.68000,
-0.00395839987,0.68000,
-0.00395799987,0.70000,
-0.00395759987,0.70000,
-0.00395719986,0.72000,
-0.00395679986,0.72000,
-0.00395639986,0.72000,
-0.00395599985,0.76000,
-0.00395559985,0.74000,
-0.00395519985,0.72000,
-0.00395479985,0.74000,
-0.00395439984,0.76000,
-0.00395399984,0.80000,
-0.00395359984,0.74000,
-0.00395319983,0.76000,
-0.00395279983,0.80000,
-0.00395239983,0.80000,
-0.00395199982,0.78000,
-0.00395159982,0.82000,
-0.00395119982,0.82000,
-0.00395079982,0.82000,
-0.00395040028,0.84000,
-0.00395000027,0.84000,
-0.00394960027,0.84000,
-0.00394920027,0.84000,
-0.00394880027,0.86000,
-0.00394840026,0.88000,
-0.00394800026,0.86000,
-0.00394760026,0.86000,
-0.00394720025,0.88000,
-0.00394680025,0.88000,
-0.00394640025,0.90000,
-0.00394600024,0.88000,
-0.00394560024,0.88000,
-0.00394520024,0.92000,
-0.00394480024,0.92000,
-0.00394440023,0.92000,
-0.00394400023,0.92000,
-0.00394360023,0.96000,
-0.00394320022,0.96000,
-0.00394280022,0.96000,
-0.00394240022,0.96000,
-0.00394200021,0.96000,
-0.00394160021,0.96000,
-0.00394120021,1.00000,
-0.00394080020,0.98000,
-0.00394040020,0.98000,
-0.00394000020,0.98000,
-0.00393960020,1.00000,
-0.00393920019,1.02000,
-0.00393880019,1.02000,
-0.00393840019,1.00000,
-0.00393800018,1.02000,
-0.00393760018,1.06000,
-0.00393720018,1.04000,
-0.00393680017,1.04000,
-0.00393640017,1.04000,
-0.00393600017,1.04000,
-0.00393560017,1.04000,
-0.00393520016,1.06000,
-0.00393480016,1.08000,
-0.00393440016,1.08000,
-0.00393400015,1.06000,
-0.00393360015,1.10000,
-0.00393320015,1.12000,
